Exchange, URL, REPO, DOCS, DEX GRADE, Status, Protocol, Reference, Asset, DLT, ORG, 
Melon DEX, ,https://github.com/melonproject/cross-chain-exchange-prototype, , , dev - prototype, melonport protocol, , , , , 
Mercatox,https://mercatox.com, , , , dev, TBC,4, , , , 
Metro DEX,https://metrodex.org/,https://github.com/metrosoftware/metrodex,https://metrodex.org/metro_whitepaper.pdf, , dev, cross-chain, , , , , 
MinexDEX,https://minexcoin.com/,https://github.com/minexcoin, , , https://medium.com/minecoin-blog/mnx-upgrade-roadmap-2018-ed9b01c258cf, atomic swap, , , , , 
Mobidex,https://mobidex.io/,https://github.com/sigillabs/mobidex, , , beta, 0x protocol, , , , , 
Mothership,https://mothership.cx/, , , , dev, TBC, , , , , 
MoonDEX,https://moondex.org/,https://github.com/Moondex, , , dev, TBC, , , , , 
NebliDex,https://neblidex.xyz/, ,https://www.neblidex.xyz/neblidex_whitepaper.pdf, , operating, NTP1 / Cross chain protocol, , , Neblio, , 
NEX,https://neonexchange.org/, ,https://neonexchange.org/pdfs/whitepaper_v2.pdf, , dev - launch Q3 2018, off-chain protocol, , , , , 
NIX,https://nixplatform.io/,https://github.com/nixplatform/,https://nixplatform.io/docs/NIX-Platform-Whitepaper.pdf, FULLY, operating, ghost protocol, , , cross-chain, , 
NextExchange,https://next.exchange/,https://github.com/NextExchange,https://next.exchange/whitepaper, , dev, 0x, , , , , 
NVO,https://nvo.io/,https://github.com/nvoproject, , , dev - launch Q1 2018, nvo protocol, , , , , 
Nxt,https://nxtplatform.org, , , , operating, TBC,5, , , , 
Oasis DEX,https://oasisdex.com,https://github.com/OasisDEX,https://developer.makerdao.com/, FULLY, operating - alpha, on-chain protocol, , , , , 
Oasis Direct,https://oasis.direct/,https://github.com/OasisDEX/oasis-direct,https://developer.makerdao.com/, FULLY, operating, on-chain protocol, , , , , 
Omega One,https://dark.omega.one/, , , , ICO, TBC, , , , , 
OmiseGO,https://omisego.network/, ,https://cdn.omise.co/omg/whitepaper.pdf, , dev, omisego protocol,2, All, All, , 
Omni DEX,https://blog.omni.foundation/2016/03/16/omnidex-getting-started/, , , , operating, TBC, , , , , 
OneChain DEX,http://onechain.one,https://github.com/onechainone,https://cdn1.haoduobi.cn/offcial_assets/onechain-white%20paper-en.pdf, , dev, TBC, , , EOS, , 
openANX,https://www.oax.org/en,https://gitlab.com/oax,https://www.oax.org/assets/whitepaper/openANX_White_Paper_ENU.pdf, , dev, openanx protocol, , , , , 
